,resId,siteNo,hiveNo,frameNo,hour,paramText,anMethText,resVal,resUnit,resUnit_desc,resValUncert,resValUncertSD,resQualValue,date
152042,CW207510,3,1,,6,Colony weight,Automatic recording,19.0,G167A,Kilogram,,,,2019-05-20 06:00:00
152045,CW207509,3,1,,5,Colony weight,Automatic recording,19.1,G167A,Kilogram,,,,2019-05-20 05:00:00
152048,CW207507,3,1,,3,Colony weight,Automatic recording,19.2,G167A,Kilogram,,,,2019-05-20 03:00:00
152052,CW207505,3,1,,1,Colony weight,Automatic recording,19.2,G167A,Kilogram,,,,2019-05-20 01:00:00
152055,CW207503,3,1,,23,Colony weight,Automatic recording,19.3,G167A,Kilogram,,,,2019-05-19 23:00:00
152059,CW207501,3,1,,21,Colony weight,Automatic recording,19.4,G167A,Kilogram,,,,2019-05-19 21:00:00
152062,CW207499,3,1,,19,Colony weight,Automatic recording,19.2,G167A,Kilogram,,,,2019-05-19 19:00:00
152066,CW207497,3,1,,17,Colony weight,Automatic recording,18.7,G167A,Kilogram,,,,2019-05-19 17:00:00
152069,CW207495,3,1,,15,Colony weight,Automatic recording,18.3,G167A,Kilogram,,,,2019-05-19 15:00:00
152071,CW207494,3,1,,13,Colony weight,Automatic recording,18.1,G167A,Kilogram,,,,2019-05-19 13:00:00
152074,CW207493,3,1,,12,Colony weight,Automatic recording,18.0,G167A,Kilogram,,,,2019-05-19 12:00:00
152077,CW207491,3,1,,10,Colony weight,Automatic recording,18.0,G167A,Kilogram,,,,2019-05-19 10:00:00
152081,CW207489,3,1,,8,Colony weight,Automatic recording,18.0,G167A,Kilogram,,,,2019-05-19 08:00:00
152084,CW207487,3,1,,6,Colony weight,Automatic recording,18.1,G167A,Kilogram,,,,2019-05-19 06:00:00
152088,CW207485,3,1,,4,Colony weight,Automatic recording,18.2,G167A,Kilogram,,,,2019-05-19 04:00:00
152091,CW207483,3,1,,2,Colony weight,Automatic recording,18.3,G167A,Kilogram,,,,2019-05-19 02:00:00
152095,CW207481,3,1,,0,Colony weight,Automatic recording,18.3,G167A,Kilogram,,,,2019-05-19 00:00:00
152098,CW207479,3,1,,22,Colony weight,Automatic recording,18.4,G167A,Kilogram,,,,2019-05-18 22:00:00
152101,CW207478,3,1,,21,Colony weight,Automatic recording,18.4,G167A,Kilogram,,,,2019-05-18 21:00:00
152104,CW207477,3,1,,20,Colony weight,Automatic recording,18.4,G167A,Kilogram,,,,2019-05-18 20:00:00
152107,CW207475,3,1,,18,Colony weight,Automatic recording,18.2,G167A,Kilogram,,,,2019-05-18 18:00:00
152111,CW207473,3,1,,15,Colony weight,Automatic recording,17.9,G167A,Kilogram,,,,2019-05-18 15:00:00
152114,CW207471,3,1,,13,Colony weight,Automatic recording,17.6,G167A,Kilogram,,,,2019-05-18 13:00:00
152118,CW207469,3,1,,11,Colony weight,Automatic recording,17.7,G167A,Kilogram,,,,2019-05-18 11:00:00
153158,CW210727,3,1,,7,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-07 07:00:00
153159,CW210726,3,1,,6,Colony weight,Automatic recording,24.1,G167A,Kilogram,,,,2019-10-07 06:00:00
153160,CW210725,3,1,,5,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-07 05:00:00
153161,CW210724,3,1,,4,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-07 04:00:00
153162,CW210723,3,1,,3,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-07 03:00:00
153163,CW210722,3,1,,2,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-07 02:00:00
153164,CW210721,3,1,,1,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-10-07 01:00:00
